"MFRBlockHz","tf_MedIsi","tf_Entropy","tf_CV2Mean","tf_LvR","Sample","Unit","RespPk","RespGo","RespGr","RespMF","RespMLI","Cluster"
18.83,0.049,7.158,0.345,4.192,"18-12-13_YC008",11,0,0,0,0,0,1
26.59,0.033,7.01,0.447,9.402,"18-12-13_YC008",12,0,0,0,0,0,1
5.2,0.161,6.461,0.433,2.201,"18-12-13_YC008",120,0,0,0,0,0,1
9.05,0.067,6.338,1.212,48.132,"18-12-13_YC008",134,0,0,0,0,0,2
11.67,0.061,6.822,0.629,11.038,"18-12-13_YC008",149,0,0,0,0,0,2
55.63,0.017,7.16,0.346,12.409,"18-12-13_YC008",15,0,0,0,0,0,1
27.69,0.023,6.147,0.627,36.556,"18-12-13_YC008",152,0,0,0,0,0,2
23.48,0.031,5.894,0.425,9.86,"18-12-13_YC008",170,0,0,0,0,0,2
3.11,0.236,6.958,0.928,7.55,"18-12-13_YC008",184,0,0,0,0,0,2
6.8,0.102,5.791,0.544,4.114,"18-12-13_YC008",196,0,0,0,0,0,2
35.31,0.024,6.817,0.579,20.614,"18-12-13_YC008",212,0,0,0,0,0,1
26.09,0.039,6.683,0.297,3.892,"18-12-13_YC008",24,0,0,0,0,0,1
36.77,0.021,6.918,0.782,45.122,"18-12-13_YC008",240,0,0,0,0,0,2
85.39,0.008,4.409,0.327,18.291,"18-12-13_YC008",243,0,0,0,0,0,2
43.73,0.012,5.147,0.748,81.585,"18-12-13_YC008",244,0,0,0,0,0,2
20.07,0.033,6.706,0.921,35.445,"18-12-13_YC008",247,0,0,0,0,0,2
17.2,0.048,6.578,0.676,14.979,"18-12-13_YC008",248,0,0,0,0,0,2
0.74,1.178,7.031,0.858,1.998,"18-12-13_YC008",25,0,0,0,0,0,3
61.37,0.012,6.523,0.509,26.848,"18-12-13_YC008",268,0,0,0,0,0,1
28.05,0.027,5.671,0.528,16.573,"18-12-13_YC008",272,0,0,0,0,0,2
123.99,0.007,4.324,0.232,13.668,"18-12-13_YC008",278,0,0,0,0,0,2
12.86,0.072,7.183,0.494,5.912,"18-12-13_YC008",28,0,0,0,0,0,1
4.97,0.109,5.97,0.89,10.937,"18-12-13_YC008",30,0,0,0,0,0,2
96.33,0.009,7.038,0.355,20.635,"18-12-13_YC008",303,0,0,0,0,0,1
46.69,0.019,6.945,0.493,20.033,"18-12-13_YC008",313,0,0,0,0,0,1
79.94,0.01,6.751,0.501,32.985,"18-12-13_YC008",317,0,0,0,0,0,1
